"","","","","","","","pSum",""
"1",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.545454545454545,0.454545454545455
"2",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.454545454545455,0.545454545454545
"3",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.363636363636364,0.636363636363636
"4",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.454545454545455,0.545454545454545
"5",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.363636363636364,0.636363636363636
"6",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.272727272727273,0.727272727272727
"7",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.363636363636364,0.636363636363636
"8",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.272727272727273,0.727272727272727
"9",1e-04,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.181818181818182,0.818181818181818
"10",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.545454545454545,0.454545454545455
"11",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.454545454545455,0.545454545454545
"12",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.363636363636364,0.636363636363636
"13",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.454545454545455,0.545454545454545
"14",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.363636363636364,0.636363636363636
"15",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.272727272727273,0.727272727272727
"16",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.363636363636364,0.636363636363636
"17",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.272727272727273,0.727272727272727
"18",1e-04,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.181818181818182,0.818181818181818
"19",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.545454545454545,0.454545454545455
"20",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.454545454545455,0.545454545454545
"21",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.363636363636364,0.636363636363636
"22",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.454545454545455,0.545454545454545
"23",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.363636363636364,0.636363636363636
"24",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.272727272727273,0.727272727272727
"25",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.363636363636364,0.636363636363636
"26",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.272727272727273,0.727272727272727
"27",1e-04,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.181818181818182,0.818181818181818
"28",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.454545454545455,0.545454545454545
"29",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.363636363636364,0.636363636363636
"30",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.272727272727273,0.727272727272727
"31",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.363636363636364,0.636363636363636
"32",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.272727272727273,0.727272727272727
"33",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.818181818181818
"34",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.272727272727273,0.727272727272727
"35",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.818181818181818
"36",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,1e-04,0.0909090909090909,0.909090909090909
"37",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.454545454545455,0.545454545454545
"38",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.363636363636364,0.636363636363636
"39",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.272727272727273,0.727272727272727
"40",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.363636363636364,0.636363636363636
"41",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.272727272727273,0.727272727272727
"42",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.818181818181818
"43",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.272727272727273,0.727272727272727
"44",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.818181818181818
"45",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,1e-04,0.0909090909090909,0.909090909090909
"46",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.454545454545455,0.545454545454545
"47",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.363636363636364,0.636363636363636
"48",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.272727272727273,0.727272727272727
"49",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.363636363636364,0.636363636363636
"50",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.272727272727273,0.727272727272727
"51",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.818181818181818
"52",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.272727272727273,0.727272727272727
"53",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.818181818181818
"54",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,1e-04,0.0909090909090909,0.909090909090909
"55",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.363636363636364,0.636363636363636
"56",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.272727272727273,0.727272727272727
"57",1e-04,1e-04,1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.818181818181818
"58",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.272727272727273,0.727272727272727
"59",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.181818181818182,0.818181818181818
"60",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.909090909090909
"61",1e-04,1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.818181818181818
"62",1e-04,1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.909090909090909
"63",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"64",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.363636363636364,0.636363636363636
"65",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.272727272727273,0.727272727272727
"66",1e-04,1e-04,1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.818181818181818
"67",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.272727272727273,0.727272727272727
"68",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.181818181818182,0.818181818181818
"69",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.909090909090909
"70",1e-04,1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.818181818181818
"71",1e-04,1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.909090909090909
"72",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"73",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.363636363636364,0.636363636363636
"74",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.272727272727273,0.727272727272727
"75",1e-04,1e-04,1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.818181818181818
"76",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.272727272727273,0.727272727272727
"77",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.181818181818182,0.818181818181818
"78",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.909090909090909
"79",1e-04,1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.818181818181818
"80",1e-04,1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.909090909090909
"81",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"82",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.818181818181818,0.181818181818182
"83",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.727272727272727,0.272727272727273
"84",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,1e-04,0.636363636363636,0.363636363636364
"85",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.727272727272727,0.272727272727273
"86",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.636363636363636,0.363636363636364
"87",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.545454545454545,0.454545454545455
"88",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,0.181818181818182,0.636363636363636,0.363636363636364
"89",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.545454545454545,0.454545454545455
"90",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,1e-04,0.454545454545455,0.545454545454545
"91",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.818181818181818,0.181818181818182
"92",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.727272727272727,0.272727272727273
"93",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,1e-04,0.636363636363636,0.363636363636364
"94",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.727272727272727,0.272727272727273
"95",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.636363636363636,0.363636363636364
"96",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.545454545454545,0.454545454545455
"97",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,0.181818181818182,0.636363636363636,0.363636363636364
"98",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.545454545454545,0.454545454545455
"99",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,1e-04,0.454545454545455,0.545454545454545
"100",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.818181818181818,0.181818181818182
"101",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.727272727272727,0.272727272727273
"102",1e-04,0.272727272727273,0.181818181818182,1e-04,0.181818181818182,1e-04,0.636363636363636,0.363636363636364
"103",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.727272727272727,0.272727272727273
"104",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.636363636363636,0.363636363636364
"105",1e-04,0.272727272727273,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.545454545454545,0.454545454545455
"106",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,0.181818181818182,0.636363636363636,0.363636363636364
"107",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.545454545454545,0.454545454545455
"108",1e-04,0.272727272727273,0.181818181818182,1e-04,1e-04,1e-04,0.454545454545455,0.545454545454545
"109",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.727272727272727,0.272727272727273
"110",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.636363636363636,0.363636363636364
"111",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.545454545454545,0.454545454545455
"112",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.636363636363636,0.363636363636364
"113",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.545454545454545,0.454545454545455
"114",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.454545454545455,0.545454545454545
"115",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.545454545454545,0.454545454545455
"116",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.454545454545455,0.545454545454545
"117",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,1e-04,0.363636363636364,0.636363636363636
"118",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.727272727272727,0.272727272727273
"119",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.636363636363636,0.363636363636364
"120",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.545454545454545,0.454545454545455
"121",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.636363636363636,0.363636363636364
"122",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.545454545454545,0.454545454545455
"123",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.454545454545455,0.545454545454545
"124",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.545454545454545,0.454545454545455
"125",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.454545454545455,0.545454545454545
"126",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,1e-04,0.363636363636364,0.636363636363636
"127",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.727272727272727,0.272727272727273
"128",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.636363636363636,0.363636363636364
"129",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.545454545454545,0.454545454545455
"130",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.636363636363636,0.363636363636364
"131",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.545454545454545,0.454545454545455
"132",1e-04,0.272727272727273,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.454545454545455,0.545454545454545
"133",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.545454545454545,0.454545454545455
"134",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.454545454545455,0.545454545454545
"135",1e-04,0.272727272727273,0.0909090909090909,1e-04,1e-04,1e-04,0.363636363636364,0.636363636363636
"136",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,0.181818181818182,0.636363636363636,0.363636363636364
"137",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.545454545454545,0.454545454545455
"138",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,1e-04,0.454545454545455,0.545454545454545
"139",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.545454545454545,0.454545454545455
"140",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.454545454545455,0.545454545454545
"141",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,1e-04,0.363636363636364,0.636363636363636
"142",1e-04,0.272727272727273,1e-04,1e-04,1e-04,0.181818181818182,0.454545454545455,0.545454545454545
"143",1e-04,0.272727272727273,1e-04,1e-04,1e-04,0.0909090909090909,0.363636363636364,0.636363636363636
"144",1e-04,0.272727272727273,1e-04,1e-04,1e-04,1e-04,0.272727272727273,0.727272727272727
"145",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,0.181818181818182,0.636363636363636,0.363636363636364
"146",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.545454545454545,0.454545454545455
"147",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,1e-04,0.454545454545455,0.545454545454545
"148",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.545454545454545,0.454545454545455
"149",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.454545454545455,0.545454545454545
"150",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,1e-04,0.363636363636364,0.636363636363636
"151",1e-04,0.272727272727273,1e-04,1e-04,1e-04,0.181818181818182,0.454545454545455,0.545454545454545
"152",1e-04,0.272727272727273,1e-04,1e-04,1e-04,0.0909090909090909,0.363636363636364,0.636363636363636
"153",1e-04,0.272727272727273,1e-04,1e-04,1e-04,1e-04,0.272727272727273,0.727272727272727
"154",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,0.181818181818182,0.636363636363636,0.363636363636364
"155",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.545454545454545,0.454545454545455
"156",1e-04,0.272727272727273,1e-04,1e-04,0.181818181818182,1e-04,0.454545454545455,0.545454545454545
"157",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.545454545454545,0.454545454545455
"158",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.454545454545455,0.545454545454545
"159",1e-04,0.272727272727273,1e-04,1e-04,0.0909090909090909,1e-04,0.363636363636364,0.636363636363636
"160",1e-04,0.272727272727273,1e-04,1e-04,1e-04,0.181818181818182,0.454545454545455,0.545454545454545
"161",1e-04,0.272727272727273,1e-04,1e-04,1e-04,0.0909090909090909,0.363636363636364,0.636363636363636
"162",1e-04,0.272727272727273,1e-04,1e-04,1e-04,1e-04,0.272727272727273,0.727272727272727
"163",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.636363636363636,0.363636363636364
"164",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.545454545454545,0.454545454545455
"165",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.454545454545455,0.545454545454545
"166",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.545454545454545,0.454545454545455
"167",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.454545454545455,0.545454545454545
"168",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.363636363636364,0.636363636363636
"169",0.0909090909090909,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.454545454545455,0.545454545454545
"170",0.0909090909090909,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.363636363636364,0.636363636363636
"171",0.0909090909090909,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.272727272727273,0.727272727272727
"172",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.636363636363636,0.363636363636364
"173",0.0909090909090909,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.545454545454545,0.454545454545455
